GROSS STATE DOMESTIC PRODUCT,
 (Base: 2004-05) - Current Prices (Lakh),
State/Union Territory,
Uttar Pradesh,
2011-12,68549644
2012-13,78039860
2013-14,86274591
2014-15,97629654
2015-16,128870023
2016-17,143992550
2017-18,158218005
