Type,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,Percentage
Wasteland,352532,181060,2760.851,209922997,209920236.1,15725177166,44606.3823,8358.2625,682248.6983,2760.851,2858.938,2885.936,17335.5955,14449.6595,7.342
Evergreen Fores,194,175,2760.879,126270.71,123509.831,1589600.12,8193.815052,2806.5915,13914.84226,2760.879,2786.989,2786.948,8289.907,5502.959,0.004
Degraded/Scrub,71868,41999,2760.893,151815288,151812527.1,2598420788,36155.46262,5733.778,702932.294,2760.949,2896.39,2899.702,11687.2935,8787.5915,1.497
Plantation,121481,96064,2761.161,178317761,178314999.8,6672259101,54924.30175,14326.318,858609.999,2761.161,2833.926,5577.904,40103.675,34525.771,2.53
Current Fallow,1312426,256131,2761.006,34486501,34483739.99,15548527885,11847.16539,2894.029,88023.53882,2761.006,2889.472,2852.496,5803.206,2950.71,27.334
Double/Triple C,604456,258443,2761.006,954014899,954012138,89547828081,148146.1481,5740.488,5120361.918,2761.006,2878.696,2869.695,17266.5665,14396.8715,12.589
Deciduous Fores,124141,79271,2761.02,868312588,868309827,11076790440,89227.49487,5823.319,4139557.66,2761.02,2873.784,2888.59,17232.922,14344.332,2.585
Waterbodies max,207778,94768,2761.034,100244899,100242138,9057355609,43591.50444,5737.103,544818.6514,2761.034,2877.751,2877.909,13925.247,11047.338,4.327
Waterbodies min,13993,11956,2761.725,263034104,263031342.3,1899711922,135761.5895,5689.356,2647784.14,2761.725,2846.604,2856.163,17089.953,14233.79,0.291
Kharif Crop,1107862,341932,2762.303,58251801,58249038.7,18152438038,16385.10757,5660.731,126389.8245,2762.303,2835.59,2855.147,11461.361,8606.214,23.074
Rabi Crop,587756,237836,2762.458,995084338,995081575.5,35462079075,60334.69514,5729.207,2555829.435,2762.458,2870.738,2868.65,16827.0325,13958.3825,12.241
Built-up,213879,139776,2764.75,781654158,781651393.3,12585427902,58843.68219,11502.254,2088593.787,2764.75,2873.808,2891.422,48478.8855,45587.4635,4.454
Grassland,1526,1475,2763.682,9125126.3,9122362.618,206914121.6,135592.4781,11263.925,486422.9996,2763.682,2786.112,2823.705,64955.591,62131.886,0.032
Zaid Crop,80620,34394,2766.014,1569437.6,1566671.586,623300530.8,7731.33876,2881.67,18558.82045,2766.014,2853.452,2850.011,8407.846,5557.835,1.679
0,4,4,2798.687,190308871,190306072.3,302145889,75536472.25,55917109.66,80468433.72,2798.687,2798.687,2850.504,151070094,151067243.5,0
Littoral Swamp,926,863,2808.049,3908878.2,3906070.151,25361582.33,27388.31785,8444.5705,138303.4829,2808.049,2815.664,2819.833,25289.383,22469.55,0.019
